Ad Group,Keyword,Campaign,Criterion Type
recliners,recliners discount,SEM_Sofas,Phrase
recliners,discount recliners,SEM_Sofas,Phrase
recliners,recliners promo,SEM_Sofas,Phrase
recliners,promo recliners,SEM_Sofas,Phrase
recliners,recliners lowest price,SEM_Sofas,Phrase
recliners,lowest price recliners,SEM_Sofas,Phrase
recliners,recliners affordable,SEM_Sofas,Phrase
recliners,affordable recliners,SEM_Sofas,Phrase
sofa beds,sofa beds buy,SEM_Sofas,Phrase
sofa beds,buy sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds price,SEM_Sofas,Phrase
sofa beds,price sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds discount,SEM_Sofas,Phrase
sofa beds,discount sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds promo,SEM_Sofas,Phrase
sofa beds,promo sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds lowest price,SEM_Sofas,Phrase
sofa beds,lowest price sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds affordable,SEM_Sofas,Phrase
sofa beds,affordable sofa beds,SEM_Sofas,Phrase
